target,n_pose,iptm,agree,nsite,n_cand,delta,dq_no,why
8sit_HL,5,0.804,0.842,1,4,-0.782,0.808,선택실패
9ml9_HL,5,0.8883,0.9096,1,1,-0.668,0.692,생성실패
8kep_HL,5,0.7669,0.7825,1,1,-0.295,0.667,제약방해
9azt_HL,5,0.5884,0.7025,1,7,-0.195,0.216,선택실패
8t4a_PR,5,0.4673,0.1334,4,7,-0.18,0.19,선택실패
9azv_HL,5,0.5543,0.702,1,5,-0.163,0.207,선택실패
8siq_HL,5,0.6186,0.1665,3,7,-0.132,0.159,선택실패
8t4d_OQ,5,0.4084,0.1163,5,7,-0.099,0.138,선택실패
8u44_ST,5,0.596,0.7356,1,3,-0.051,0.248,제약방해
8ulr_HL,5,0.9072,0.88,1,3,-0.051,0.844,제약방해
9azr_HL,5,0.6234,0.7357,1,3,-0.05,0.216,제약방해
8q7s_O,5,0.9224,0.8782,1,2,-0.044,0.886,제약방해
8q7s_C,5,0.9166,0.885,1,2,-0.037,0.915,제약방해
8k5g_HL,5,0.6912,0.8352,1,1,-0.018,0.829,무변화
8k5h_HL,5,0.8129,0.8947,1,2,-0.013,0.842,무변화
9bdg_FI,5,0.487,0.2878,3,3,-0.013,0.036,생성실패
9kkj_HL,5,0.7454,0.3275,3,1,-0.012,0.062,생성실패
9w43_AB,5,0.7392,0.3866,2,2,-0.006,0.121,생성실패
9mqr_DE,5,0.648,0.3559,2,3,-0.002,0.009,선택실패
9y0a_AB,5,0.7218,0.2919,2,1,0.002,0.062,생성실패
8k3k_D,5,0.6397,0.7391,1,2,0.004,0.009,선택실패
8xsi_HL,5,0.5139,0.4484,3,3,0.004,0.026,생성실패
8k46_I,5,0.6424,0.8121,1,2,0.006,0.009,생성실패
9yc6_HL,5,0.6309,0.6681,1,1,0.044,0.027,이득
8ume_HL,5,0.4777,0.2833,3,4,0.082,0.027,이득
8tp5_HL,5,0.4165,0.4087,3,3,0.145,0.072,이득
9b7g_QP,5,0.5608,0.6854,2,2,0.183,0.498,이득
8sis_HL,5,0.5922,0.3964,3,3,0.281,0.034,이득
9zdu_HL,5,0.8356,0.7678,1,1,0.286,0.577,이득
8q7s_H,5,0.6679,0.8962,1,3,0.313,0.014,이득
