target,group,ab,model,rung,neff80,best_dockq,n_pose
8q7s_O,RBD,A,protenix,0,35.589,0.111,5
8q7s_O,RBD,A,protenix,1,27.526,0.116,5
8q7s_O,RBD,A,protenix,2,21.933,0.076,5
8q7s_O,RBD,A,protenix,3,14.733,0.094,5
8q7s_O,RBD,A,protenix,4,14.0,0.083,5
8q7s_O,RBD,A,protenix,5,8.0,0.016,5
8q7s_O,RBD,A,protenix,6,7.0,0.017,5
8q7s_O,RBD,A,protenix,7,4.0,0.02,5
8q7s_O,RBD,A,protenix,8,3.0,0.067,5
8q7s_O,RBD,A,protenix,9,2.0,0.017,5
8q7s_O,RBD,A,protenix,10,1.0,0.014,5
8q7s_O,RBD,A,protenix,11,1.0,0.015,5
8y6a_CD,RBD,B,protenix,0,33.388,0.024,5
8y6a_CD,RBD,B,protenix,1,26.079,0.019,5
8y6a_CD,RBD,B,protenix,2,22.568,0.012,5
8y6a_CD,RBD,B,protenix,3,16.2,0.009,5
8y6a_CD,RBD,B,protenix,4,13.333,0.015,5
8y6a_CD,RBD,B,protenix,5,10.0,0.02,5
8y6a_CD,RBD,B,protenix,6,5.0,0.019,5
8y6a_CD,RBD,B,protenix,7,6.0,0.025,5
8y6a_CD,RBD,B,protenix,8,3.0,0.027,5
8y6a_CD,RBD,B,protenix,9,2.0,0.029,5
8y6a_CD,RBD,B,protenix,10,2.0,0.016,5
8y6a_CD,RBD,B,protenix,11,1.0,0.01,5
9azr_HL,HA,A,protenix,0,120.544,0.076,5
9azr_HL,HA,A,protenix,1,91.887,0.124,5
9azr_HL,HA,A,protenix,2,68.359,0.017,5
9azr_HL,HA,A,protenix,3,51.422,0.1,5
9azr_HL,HA,A,protenix,4,28.345,0.492,5
9azr_HL,HA,A,protenix,5,22.355,0.015,5
9azr_HL,HA,A,protenix,6,14.167,0.025,5
9azr_HL,HA,A,protenix,7,9.0,0.016,5
9azr_HL,HA,A,protenix,8,6.0,0.049,5
9azr_HL,HA,A,protenix,9,3.0,0.027,5
