target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8q7s_O,protenix,d35,seed0_r0,8q7s_o_sample_0.cif,0.04,0.55,0.8,40
8q7s_O,protenix,d35,seed0_r0,8q7s_o_sample_1.cif,0.07,0.7407,0.963,27
8q7s_O,protenix,d35,seed0_r0,8q7s_o_sample_2.cif,0.041,0.75,0.8571,28
8q7s_O,protenix,d35,seed0_r0,8q7s_o_sample_3.cif,0.049,0.5926,0.7037,27
8q7s_O,protenix,d35,seed0_r0,8q7s_o_sample_4.cif,0.042,0.5714,0.8095,21
8q7s_O,protenix,d35,seed0_r1,8q7s_o_sample_0.cif,0.148,0.6429,0.9286,28
8q7s_O,protenix,d35,seed0_r1,8q7s_o_sample_1.cif,0.143,0.6786,0.9286,28
8q7s_O,protenix,d35,seed0_r1,8q7s_o_sample_2.cif,0.066,0.8,0.8,20
8q7s_O,protenix,d35,seed0_r1,8q7s_o_sample_3.cif,0.062,0.6538,0.9231,26
8q7s_O,protenix,d35,seed0_r1,8q7s_o_sample_4.cif,0.043,0.5484,0.8387,31
8q7s_O,protenix,d35,seed0_r2,8q7s_o_sample_0.cif,0.04,0.5238,0.7619,42
8q7s_O,protenix,d35,seed0_r2,8q7s_o_sample_1.cif,0.065,0.76,0.96,25
8q7s_O,protenix,d35,seed0_r2,8q7s_o_sample_2.cif,0.066,0.76,0.96,25
8q7s_O,protenix,d35,seed0_r2,8q7s_o_sample_3.cif,0.081,0.6538,0.8462,26
8q7s_O,protenix,d35,seed0_r2,8q7s_o_sample_4.cif,0.041,0.6522,0.8696,23
8q7s_O,protenix,d35,seed0_r3,8q7s_o_sample_0.cif,0.064,0.7407,0.963,27
8q7s_O,protenix,d35,seed0_r3,8q7s_o_sample_1.cif,0.04,0.55,0.775,40
8q7s_O,protenix,d35,seed0_r3,8q7s_o_sample_2.cif,0.052,0.6897,0.931,29
8q7s_O,protenix,d35,seed0_r3,8q7s_o_sample_3.cif,0.061,0.6667,0.8148,27
8q7s_O,protenix,d35,seed0_r3,8q7s_o_sample_4.cif,0.042,0.5769,0.8462,26
8q7s_O,protenix,d35,seed1_r0,8q7s_o_sample_0.cif,0.136,0.6552,0.9655,29
8q7s_O,protenix,d35,seed1_r0,8q7s_o_sample_1.cif,0.099,0.72,0.96,25
8q7s_O,protenix,d35,seed1_r0,8q7s_o_sample_2.cif,0.114,0.6667,0.7778,27
8q7s_O,protenix,d35,seed1_r0,8q7s_o_sample_3.cif,0.066,0.6316,0.8421,19
8q7s_O,protenix,d35,seed1_r0,8q7s_o_sample_4.cif,0.012,0.0,0.1935,31
8q7s_O,protenix,d35,seed1_r1,8q7s_o_sample_0.cif,0.107,0.7391,0.913,23
8q7s_O,protenix,d35,seed1_r1,8q7s_o_sample_1.cif,0.016,0.1667,0.5833,36
8q7s_O,protenix,d35,seed1_r1,8q7s_o_sample_2.cif,0.018,0.2188,0.5625,32
8q7s_O,protenix,d35,seed1_r1,8q7s_o_sample_3.cif,0.081,0.6667,0.8889,27
8q7s_O,protenix,d35,seed1_r1,8q7s_o_sample_4.cif,0.011,0.0,0.1944,36
8q7s_O,protenix,d35,seed1_r2,8q7s_o_sample_0.cif,0.147,0.6923,0.9231,26
8q7s_O,protenix,d35,seed1_r2,8q7s_o_sample_1.cif,0.129,0.6897,0.931,29
8q7s_O,protenix,d35,seed1_r2,8q7s_o_sample_2.cif,0.143,0.6129,0.9355,31
8q7s_O,protenix,d35,seed1_r2,8q7s_o_sample_3.cif,0.044,0.6897,0.931,29
8q7s_O,protenix,d35,seed1_r2,8q7s_o_sample_4.cif,0.109,0.5,0.7368,38
8q7s_O,protenix,d35,seed1_r3,8q7s_o_sample_0.cif,0.104,0.68,0.96,25
8q7s_O,protenix,d35,seed1_r3,8q7s_o_sample_1.cif,0.015,0.1724,0.6207,29
8q7s_O,protenix,d35,seed1_r3,8q7s_o_sample_2.cif,0.014,0.1176,0.5,34
8q7s_O,protenix,d35,seed1_r3,8q7s_o_sample_3.cif,0.061,0.5926,0.8889,27
8q7s_O,protenix,d35,seed1_r3,8q7s_o_sample_4.cif,0.011,0.0,0.1786,28
8q7s_O,protenix,d35,seed2_r0,8q7s_o_sample_0.cif,0.119,0.6897,0.931,29
8q7s_O,protenix,d35,seed2_r0,8q7s_o_sample_1.cif,0.146,0.6552,0.931,29
8q7s_O,protenix,d35,seed2_r0,8q7s_o_sample_2.cif,0.117,0.6786,0.8214,28
8q7s_O,protenix,d35,seed2_r0,8q7s_o_sample_3.cif,0.046,0.7,0.9,20
8q7s_O,protenix,d35,seed2_r0,8q7s_o_sample_4.cif,0.093,0.6923,0.8462,26
8q7s_O,protenix,d35,seed2_r1,8q7s_o_sample_0.cif,0.141,0.5926,0.9259,27
8q7s_O,protenix,d35,seed2_r1,8q7s_o_sample_1.cif,0.149,0.5714,0.9286,28
8q7s_O,protenix,d35,seed2_r1,8q7s_o_sample_2.cif,0.127,0.6552,0.931,29
8q7s_O,protenix,d35,seed2_r1,8q7s_o_sample_3.cif,0.11,0.5862,0.931,29
8q7s_O,protenix,d35,seed2_r1,8q7s_o_sample_4.cif,0.131,0.5806,0.9355,31
8q7s_O,protenix,d35,seed2_r2,8q7s_o_sample_0.cif,0.069,0.7083,0.9167,24
8q7s_O,protenix,d35,seed2_r2,8q7s_o_sample_1.cif,0.057,0.7419,0.9355,31
8q7s_O,protenix,d35,seed2_r2,8q7s_o_sample_2.cif,0.054,0.6667,0.9259,27
8q7s_O,protenix,d35,seed2_r2,8q7s_o_sample_3.cif,0.063,0.6154,0.9231,26
8q7s_O,protenix,d35,seed2_r2,8q7s_o_sample_4.cif,0.088,0.76,0.88,25
8q7s_O,protenix,d35,seed2_r3,8q7s_o_sample_0.cif,0.143,0.5926,0.9259,27
8q7s_O,protenix,d35,seed2_r3,8q7s_o_sample_1.cif,0.136,0.6667,0.9333,30
8q7s_O,protenix,d35,seed2_r3,8q7s_o_sample_2.cif,0.153,0.6667,0.9333,30
8q7s_O,protenix,d35,seed2_r3,8q7s_o_sample_3.cif,0.077,0.7407,0.963,27
8q7s_O,protenix,d35,seed2_r3,8q7s_o_sample_4.cif,0.091,0.5556,0.8148,27
