target,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
8q7s_O,RBD,A,class1/2(RBM),0,35.589,5,73,0.958,0.947,0.957,0.828,0.913,0.928,0.932,0.754,0.754,1.585,1.572,4.475,3.735
8q7s_O,RBD,A,class1/2(RBM),1,27.526,5,73,0.958,0.771,0.962,0.649,0.885,0.803,0.932,0.67,0.758,6.51,0.949,8.089,4.48
8q7s_O,RBD,A,class1/2(RBM),2,21.933,5,73,0.958,0.944,0.958,0.825,0.917,0.929,0.933,0.754,0.757,1.893,0.553,4.453,4.77
8q7s_O,RBD,A,class1/2(RBM),3,14.733,5,73,0.958,0.945,0.957,0.805,0.87,0.929,0.932,0.753,0.753,1.707,1.762,4.024,4.011
8q7s_O,RBD,A,class1/2(RBM),4,14.0,5,73,0.958,0.953,0.957,0.841,0.87,0.929,0.933,0.754,0.752,1.314,1.754,4.39,3.958
8q7s_O,RBD,A,class1/2(RBM),5,8.0,5,73,0.958,0.96,0.962,0.864,0.923,0.93,0.935,0.756,0.756,1.42,0.596,4.366,4.344
8q7s_O,RBD,A,class1/2(RBM),6,7.0,5,73,0.958,0.946,0.955,0.826,0.909,0.928,0.933,0.753,0.754,2.027,1.899,4.574,3.721
8q7s_O,RBD,A,class1/2(RBM),7,4.0,5,73,0.958,0.946,0.958,0.837,0.875,0.93,0.933,0.754,0.757,1.401,2.002,4.353,3.912
8q7s_O,RBD,A,class1/2(RBM),8,3.0,5,73,0.958,0.958,0.958,0.858,0.917,0.93,0.935,0.754,0.755,0.904,0.388,4.42,4.653
8q7s_O,RBD,A,class1/2(RBM),9,2.0,5,73,0.958,0.952,0.955,0.857,0.955,0.931,0.935,0.753,0.758,1.59,1.721,4.081,3.84
8y6a_CD,RBD,B,class3,0,33.388,5,72,0.158,0.143,0.0,0.0,0.0,0.261,0.347,0.398,0.308,18.568,17.871,20.179,24.072
8y6a_CD,RBD,B,class3,1,26.079,5,72,0.158,0.134,0.053,0.032,0.158,0.456,0.774,0.318,0.29,14.724,11.204,23.805,26.58
8y6a_CD,RBD,B,class3,2,22.568,5,72,0.158,0.128,0.3,0.018,0.05,0.378,0.437,0.322,0.356,16.629,16.073,23.227,21.16
8y6a_CD,RBD,B,class3,3,16.2,5,72,0.158,0.144,0.25,0.01,0.05,0.375,0.413,0.332,0.352,15.923,15.931,22.857,21.501
8y6a_CD,RBD,B,class3,4,13.333,5,72,0.158,0.046,0.045,0.0,0.0,0.357,0.355,0.3,0.315,17.449,17.046,24.111,23.67
8y6a_CD,RBD,B,class3,5,10.0,5,72,0.158,0.088,0.0,0.0,0.0,0.304,0.155,0.341,0.397,17.818,19.79,22.276,20.127
8y6a_CD,RBD,B,class3,6,5.0,5,72,0.158,0.291,0.263,0.011,0.053,0.386,0.423,0.389,0.362,18.629,16.161,21.559,21.364
8y6a_CD,RBD,B,class3,7,6.0,5,72,0.158,0.346,0.286,0.112,0.333,0.513,0.788,0.432,0.395,16.275,9.838,19.505,22.059
8y6a_CD,RBD,B,class3,8,3.0,5,72,0.158,0.282,1.0,0.012,0.059,0.321,0.387,0.435,0.766,19.275,24.059,19.678,9.815
8y6a_CD,RBD,B,class3,9,2.0,5,72,0.158,0.312,0.15,0.169,0.8,0.453,0.944,0.427,0.391,14.79,0.533,19.775,24.482
8y6a_CD,RBD,B,class3,10,2.0,5,72,0.158,0.175,0.385,0.099,0.269,0.504,0.782,0.361,0.393,15.431,11.348,22.526,20.821
9azr_HL,HA,A,head,0,120.544,5,207,0.958,1.0,1.0,0.404,0.656,0.768,0.917,0.502,0.504,7.179,2.33,14.935,14.654
9azr_HL,HA,A,head,1,91.887,5,207,0.958,0.988,1.0,0.452,0.76,0.757,0.918,0.502,0.504,10.144,3.402,14.443,15.444
9azr_HL,HA,A,head,2,68.359,5,207,0.958,0.975,1.0,0.472,0.688,0.818,0.918,0.502,0.504,7.863,2.194,16.229,14.645
9azr_HL,HA,A,head,3,51.422,5,207,0.958,0.97,1.0,0.427,0.739,0.77,0.921,0.501,0.504,9.884,3.745,14.152,14.498
9azr_HL,HA,A,head,4,28.345,5,207,0.958,1.0,1.0,0.386,0.625,0.816,0.917,0.502,0.504,9.406,2.28,16.734,14.814
9azr_HL,HA,A,head,5,22.355,5,207,0.958,0.988,1.0,0.535,0.688,0.863,0.918,0.502,0.504,5.467,2.063,14.704,14.718
9azr_HL,HA,A,head,6,14.167,5,207,0.958,0.962,1.0,0.282,0.7,0.672,0.917,0.5,0.504,13.817,2.463,15.096,15.538
9azr_HL,HA,A,head,7,9.0,5,207,0.958,1.0,1.0,0.642,0.733,0.901,0.921,0.505,0.504,4.255,1.667,15.386,15.071
9azr_HL,HA,A,head,8,6.0,5,207,0.958,1.0,1.0,0.653,0.667,0.909,0.876,0.504,0.505,3.284,6.754,15.779,19.573
9azr_HL,HA,A,head,9,3.0,5,207,0.958,1.0,1.0,0.468,0.656,0.851,0.914,0.504,0.504,8.335,2.666,16.694,14.589
9azr_HL,HA,A,head,10,2.0,5,207,0.958,0.987,1.0,0.378,0.667,0.765,0.919,0.502,0.504,10.23,2.522,15.882,14.733
8txu_HL,HA,B,stem,0,52.955,5,251,0.0,0.657,0.05,0.05,0.25,0.435,0.88,0.515,0.315,51.461,19.388,31.563,58.491
8txu_HL,HA,B,stem,1,38.101,5,251,0.0,0.519,0.0,0.162,0.81,0.415,0.974,0.542,0.28,53.785,3.107,33.779,75.04
8txu_HL,HA,B,stem,2,28.121,5,251,0.0,0.542,0.042,0.058,0.292,0.491,0.89,0.489,0.315,48.965,16.543,35.101,60.275
8txu_HL,HA,B,stem,3,20.959,5,251,0.0,0.619,0.048,0.095,0.238,0.467,0.875,0.519,0.313,50.854,19.121,34.702,58.748
8txu_HL,HA,B,stem,4,15.707,5,251,0.0,0.308,0.091,0.16,0.273,0.682,0.881,0.403,0.315,33.545,19.237,46.969,57.851
8txu_HL,HA,B,stem,5,11.471,5,251,0.0,0.436,0.056,0.094,0.333,0.546,0.882,0.455,0.315,41.811,18.247,39.152,59.21
8txu_HL,HA,B,stem,6,9.167,5,251,0.0,0.516,0.12,0.056,0.28,0.491,0.858,0.477,0.327,46.035,19.596,35.824,56.77
8txu_HL,HA,B,stem,7,8.0,5,251,0.0,0.449,0.0,0.233,0.933,0.579,0.972,0.449,0.28,38.71,2.268,42.427,74.803
8txu_HL,HA,B,stem,8,5.0,5,251,0.0,0.385,0.067,0.074,0.267,0.605,0.85,0.42,0.312,40.201,18.579,42.867,58.92
